subj	word	wlen	skip	mfix	fp.reg
1	7_2	9	0	1	0
1	7_3	8	0	1	0
1	7_4	2	1	0	NA
1	7_5	3	0	0	0
1	7_6	5	1	0	NA
1	7_7	7	0	1	0
1	7_8	3	1	0	NA
1	8_2	6	0	1	0
1	8_4	8	1	0	NA
1	8_5	4	0	0	0
1	8_6	3	0	0	0
1	8_7	3	1	0	NA
1	8_8	7	0	1	1
1	8_9	2	1	0	NA
1	9_2	7	0	0	0
1	9_3	3	1	0	NA
1	9_4	8	0	0	0
1	9_5	4	1	0	NA
1	9_6	9	0	0	0
1	9_7	4	0	1	0
1	9_8	3	1	0	NA
1	10_2	9	0	1	0
1	10_3	9	0	0	0
1	10_4	6	0	0	0
1	10_5	2	1	0	NA
1	10_6	3	0	0	0
1	10_7	7	0	0	0
1	10_8	3	1	0	NA
1	10_9	4	0	0	0
1	10_10	4	0	0	0
1	14_2	3	0	0	0
1	14_3	3	0	0	0
1	14_4	4	1	0	NA
1	14_5	4	0	0	0
1	14_6	2	1	0	NA
1	14_7	3	0	0	0
1	14_8	7	0	0	0
1	14_10	3	0	0	0
1	14_11	2	1	0	NA
1	15_2	6	0	1	0
1	15_3	5	0	0	0
1	15_4	4	1	0	NA
1	15_5	7	0	1	0
1	15_6	4	1	0	NA
1	15_9	3	1	0	NA
1	25_2	9	0	0	0
1	25_3	3	0	0	1
1	25_4	8	0	1	0
1	25_5	4	1	0	NA
1	25_6	3	0	0	0
1	25_7	9	0	0	1
1	25_8	7	0	0	0
1	27_2	4	0	0	0
1	27_3	3	1	0	NA
1	27_4	4	0	0	0
1	27_5	8	0	1	0
1	27_6	2	1	0	NA
1	27_7	3	0	0	0
1	27_8	12	0	0	0
1	27_9	2	1	0	NA
1	28_2	9	0	1	0
1	28_3	6	0	0	0
1	28_4	7	0	0	0
1	28_5	2	1	0	NA
1	28_6	5	0	0	0
1	28_7	7	0	0	0
1	28_8	1	1	0	NA
1	28_9	8	0	0	0
1	28_10	2	1	0	NA
1	32_2	4	1	0	NA
1	32_3	1	1	0	NA
1	32_5	3	1	0	NA
1	32_6	7	0	1	0
1	32_7	6	0	0	0
1	32_8	3	1	0	NA
1	33_2	6	0	0	0
1	33_3	5	1	0	NA
1	33_4	7	0	1	0
1	33_5	3	1	0	NA
1	33_6	9	0	0	0
1	33_7	2	1	0	NA
1	33_8	3	0	0	0
1	34_2	6	0	1	0
1	34_3	9	0	0	0
1	34_4	1	1	0	NA
1	34_5	7	0	1	0
1	34_6	2	1	0	NA
1	34_7	2	0	0	0
1	34_8	6	0	0	0
1	34_9	6	0	0	0
1	34_10	3	1	0	NA
1	35_2	6	0	0	0
1	35_3	4	0	0	0
1	35_4	3	1	0	NA
1	35_5	7	0	0	0
1	35_6	2	1	0	NA
1	35_7	3	1	0	NA
1	35_8	4	0	0	0
1	35_9	3	0	0	0
1	35_10	1	1	0	NA
1	35_11	7	0	0	0
1	35_12	2	1	0	NA
1	35_13	3	1	0	NA
1	39_2	6	0	0	0
1	39_3	4	0	0	0
1	39_4	6	0	0	0
1	39_5	3	1	0	NA
1	39_6	2	1	0	NA
1	39_7	3	0	0	0
1	39_8	7	0	0	0
1	39_9	3	1	0	NA
1	39_10	2	0	0	0
1	39_11	3	1	0	NA
1	39_12	5	0	0	0
1	40_2	7	0	1	0
1	40_3	5	0	0	0
1	40_4	3	1	0	NA
1	40_5	6	0	0	0
1	40_6	3	0	0	0
1	40_7	5	0	0	0
1	40_8	3	0	0	0
1	40_9	11	0	0	0
1	40_10	2	1	0	NA
1	40_11	3	0	0	0
1	41_2	4	0	0	0
1	41_3	4	0	0	0
1	41_4	10	0	0	0
1	41_5	3	1	0	NA
1	41_6	1	1	0	NA
1	41_7	6	0	1	0
1	41_8	5	0	1	0
1	41_9	3	0	0	0
1	41_10	1	1	0	NA
1	41_11	10	0	1	0
1	44_2	3	1	0	NA
1	44_3	7	0	0	0
1	44_5	6	0	0	0
1	44_6	4	1	0	NA
1	44_7	7	0	1	0
1	44_8	2	1	0	NA
1	44_9	6	0	0	0
1	44_10	3	1	0	NA
2	1_2	5	0	0	0
2	1_3	4	1	0	NA
2	1_4	3	0	0	1
2	1_5	3	1	0	NA
2	1_6	9	1	0	NA
2	1_7	2	1	0	NA
2	1_8	3	0	0	0
2	1_9	3	1	0	NA
2	1_10	2	0	0	0
2	1_11	3	1	0	NA
2	2_2	9	0	1	0
2	2_3	10	0	1	0
2	2_4	3	1	0	NA
2	2_5	3	1	0	NA
2	2_6	9	0	1	0
2	2_7	2	1	0	NA
2	2_8	3	0	0	1
2	2_9	6	1	0	NA
2	3_2	2	0	0	0
2	3_3	3	1	0	NA
2	3_4	8	0	1	0
2	3_5	6	0	0	0
2	3_6	2	1	0	NA
2	3_7	4	1	0	NA
2	3_8	2	0	0	0
2	3_9	4	0	0	0
2	3_10	5	1	0	NA
2	3_11	6	0	0	0
2	4_2	4	0	0	0
2	4_3	5	0	0	1
2	4_4	4	0	0	0
2	4_5	2	1	0	NA
2	4_6	5	0	0	0
2	4_7	4	1	0	NA
2	4_8	3	0	0	0
2	4_9	5	0	1	0
2	4_10	8	1	0	NA
2	5_2	10	0	1	0
